"point_id";"time";"id";"act_obs";"obs";"coords.x";"coords.y"
0;2015-03-11 08:13:22;"2015-03-11_varieg_scallop";"NO";0;154661,046607305;6835950,52223108
1;2015-03-11 08:13:41;"2015-03-11_varieg_scallop";"NO";0;154664,489874876;6835919,05984518
2;2015-03-11 08:14:06;"2015-03-11_varieg_scallop";"NO";0;154657,721679719;6835914,90127838
3;2015-03-11 08:14:22;"2015-03-11_varieg_scallop";"NO";0;154651,145289248;6835929,88721212
4;2015-03-11 08:14:32;"2015-03-11_varieg_scallop";"NO";0;154639,825557346;6835945,31704195
5;2015-03-11 08:14:37;"2015-03-11_varieg_scallop";"NO";0;154631,003590954;6835953,32658169
6;2015-03-11 08:14:56;"2015-03-11_varieg_scallop";"NO";0;154599,320089418;6835989,82097998
7;2015-03-11 08:15:09;"2015-03-11_varieg_scallop";"NO";0;154573,07489898;6836016,22498952
8;2015-03-11 08:15:28;"2015-03-11_varieg_scallop";"NO";0;154529,880576083;6836049,00415714
9;2015-03-11 08:15:46;"2015-03-11_varieg_scallop";"NO";0;154485,799676241;6836072,28356846
10;2015-03-11 08:16:05;"2015-03-11_varieg_scallop";"NO";0;154434,506602763;6836086,65503596
11;2015-03-11 08:16:20;"2015-03-11_varieg_scallop";"NO";0;154391,120567849;6836100,28852685
12;2015-03-11 08:16:35;"2015-03-11_varieg_scallop";"NO";0;154350,674873488;6836111,25200281
13;2015-03-11 08:16:51;"2015-03-11_varieg_scallop";"NO";0;154303,904711419;6836122,80762856
14;2015-03-11 08:17:15;"2015-03-11_varieg_scallop";"NO";0;154237,244689732;6836143,40665634
15;2015-03-11 08:17:34;"2015-03-11_varieg_scallop";"NO";0;154182,568814583;6836155,70072101
16;2015-03-11 08:17:57;"2015-03-11_varieg_scallop";"NO";0;154115,909582866;6836176,30224719
17;2015-03-11 08:18:17;"2015-03-11_varieg_scallop";"NO";0;154056,490885786;6836189,0407092
18;2015-03-11 08:18:42;"2015-03-11_varieg_scallop";"NO";0;153981,482469872;6836205,6325828
19;2015-03-11 08:19:02;"2015-03-11_varieg_scallop";"NO";0;153921,148907888;6836225,64523042
20;2015-03-11 08:19:20;"2015-03-11_varieg_scallop";"NO";0;153865,336926126;6836242,84009084
21;2015-03-11 08:19:45;"2015-03-11_varieg_scallop";"NO";0;153780,843073732;6836260,32138874
22;2015-03-11 08:20:08;"2015-03-11_varieg_scallop";"NO";0;153703,366474237;6836267,56582792
23;2015-03-11 08:20:20;"2015-03-11_varieg_scallop";"NO";0;153666,334348167;6836263,84271229
24;2015-03-11 08:20:37;"2015-03-11_varieg_scallop";"NO";0;153616,012614116;6836237,40734725
25;2015-03-11 08:20:56;"2015-03-11_varieg_scallop";"NO";0;153568,878799634;6836193,90497174
26;2015-03-11 08:21:17;"2015-03-11_varieg_scallop";"NO";0;153526,958417282;6836137,93867436
27;2015-03-11 08:21:34;"2015-03-11_varieg_scallop";"NO";0;153504,67866909;6836087,32153296
28;2015-03-11 08:21:54;"2015-03-11_varieg_scallop";"NO";0;153465,919843822;6836031,0598602
29;2015-03-11 08:22:19;"2015-03-11_varieg_scallop";"NO";0;153415,42482682;6835968,71020932
30;2015-03-11 08:22:38;"2015-03-11_varieg_scallop";"NO";0;153372,587552491;6835920,0168022
31;2015-03-11 08:22:56;"2015-03-11_varieg_scallop";"NO";0;153334,715389372;6835873,25484866
32;2015-03-11 08:23:12;"2015-03-11_varieg_scallop";"NO";0;153300,44918489;6835830,94609476
33;2015-03-11 08:23:28;"2015-03-11_varieg_scallop";"NO";0;153267,541836976;6835786,11570115
34;2015-03-11 08:23:45;"2015-03-11_varieg_scallop";"NO";0;153227,865141447;6835737,12743431
35;2015-03-11 08:24:00;"2015-03-11_varieg_scallop";"NO";0;153192,238313275;6835697,34231957
36;2015-03-11 08:24:21;"2015-03-11_varieg_scallop";"NO";0;153139,242554767;6835642,41492941
37;2015-03-11 08:24:36;"2015-03-11_varieg_scallop";"NO";0;153101,811564259;6835600,40338655
0;2015-03-11 08:25:46;"2015-03-11_varieg_scallop";"NO";0;152911,21373023;6835421,81503597
1;2015-03-11 08:25:56;"2015-03-11_varieg_scallop";"NO";0;152883,910620428;6835402,81187905
2;2015-03-11 08:26:04;"2015-03-11_varieg_scallop";"NO";0;152860,436904873;6835390,63756196
3;2015-03-11 08:26:21;"2015-03-11_varieg_scallop";"NO";0;152808,078602809;6835359,60747685
4;2015-03-11 08:26:40;"2015-03-11_varieg_scallop";"NO";0;152750,307807256;6835321,8985381
5;2015-03-11 08:26:54;"2015-03-11_varieg_scallop";"NO";0;152706,522112786;6835297,2536988
6;2015-03-11 08:27:11;"2015-03-11_varieg_scallop";"NO";0;152652,802395501;6835268,74928954
7;2015-03-11 08:27:28;"2015-03-11_varieg_scallop";"NO";0;152600,441142237;6835237,72116817
8;2015-03-11 08:27:46;"2015-03-11_varieg_scallop";"NO";0;152543,335345666;6835207,13912125
9;2015-03-11 08:28:01;"2015-03-11_varieg_scallop";"NO";0;152493,667138277;6835187,83734395
10;2015-03-11 08:28:19;"2015-03-11_varieg_scallop";"NO";0;152434,287786552;6835167,05021873
11;2015-03-11 08:28:37;"2015-03-11_varieg_scallop";"NO";0;152371,966678301;6835148,93627053
